"http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28.QT.scalability.QT.+OR+.QT.number+of+nodes.QT.+OR+.QT.number+of+resources.QT.%29+AND+.QT.intrusion+detection+system.QT.%29",2016/09/19 11:06:38,"Scalability","(""scalability"" OR ""number of nodes"" OR ""number of resources"") AND ""intrusion detection system""",IEEE
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Detecting Selective Forwarding Attacks in Wireless Sensor Networks using Support Vector Machines","S. Kaplantzis; A. Shilton; N. Mani; Y. A. Sekercioglu","Electrical and Computer Systems Engineering, Monash University, Clayton, Victoria 3800, Australia, sophia.kaplantzis@eng.monash.edu.au","Intelligent Sensors, Sensor Networks and Information, 2007. ISSNIP 2007. 3rd International Conference on","","2007","","","335","340","Wireless sensor networks (WSNs) are a new technology foreseen to be used increasingly in the near future due to their data acquisition and data processing abilities. Security for WSNs is an area that needs to be considered in order to protect the functionality of these networks, the data they convey and the location of their members. The security models and protocols used in wired and other networks are not suited to WSNs because of their severe resource constraints, especially concerning energy . In this article, we propose a centralized intrusion detection scheme based on support vector machines (SVMs) and sliding windows. We find that our system can detect black hole attacks and selective forwarding attacks with high accuracy without depleting the nodes of their energy.","","","10.1109/ISSNIP.2007.4496866","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4496866","","Australia;Bandwidth;Computer crime;Data security;Intrusion detection;Monitoring;Protection;Protocols;Support vector machines;Wireless sensor networks","support vector machines;telecommunication security;wireless sensor networks","SVM;centralized intrusion detection scheme;data acquisition;data processing;selective forwarding attacks;sliding windows;support vector machines;wireless sensor networks","","29","","21","","","3-6 Dec. 2007","","IEEE","IEEE Conference Publications"
"The research on dissemination algorithm based on neural network wireless network","Yanhong-Zhu; Dongbin-He; Hongjuan-Li","Computer Department of Shijiazhuang Posts and Telecommunications Technical College china","Computer Design and Applications (ICCDA), 2010 International Conference on","","2010","2","","V2-505","V2-507","Wireless Sensor Networks is a new technology that set MEMS, SOC and Wireless Communication Technology as a whole, which appears in recent years, It constitutes by Numerous Sensor node of Information Awareness Function, Information processing Function and Information Transfer Function. This article combine features of the fast convergence rate, the Optimal Communications way and the easy possibility of ANN, raise the distributional dissemination algorithm of sensor network based on neural network model, the algorithm not only Reduce the energy consumption of Wireless Network Node but also reduce the Network Delay.","","","10.1109/ICCDA.2010.5541346","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5541346","Dissmination Algorithm;Neureal network;wireless Network","Artificial neural networks;Communications technology;Information processing;Micromechanical devices;Neural networks;Sensor phenomena and characterization;Transfer functions;Wireless communication;Wireless networks;Wireless sensor networks","convergence;delays;electronic data interchange;energy consumption;information dissemination;neural nets;system-on-chip;transfer functions;wireless sensor networks","MEMS;SOC;convergence rate;distributional dissemination algorithm;energy consumption;information awareness function;information processing function;information transfer function;network delay;neural network wireless network;numerous sensor node;optimal communications way;sensor network;wireless communication technology","","0","","12","","","25-27 June 2010","","IEEE","IEEE Conference Publications"
"Secure Routing","C. Douligeris; D. N. Serpanos","","Network Security:Current Status and Future Directions","","2007","","","15","32","This chapter contains sections titled: <br> Introduction <br> Networking Technologies <br> Attacks in Networks <br> State of the Art <br> Conclusion and Research Issues <br> References","","97804700997","10.1002/9780470099742.ch2","http://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=5237843.pdf&bkn=5237765&pdfType=chapter","","","","","","","","","2007","","20090910","","Wiley-IEEE Press","Wiley-IEEE Press eBook Chapters"
"A Reconfigurable Multiclass Support Vector Machine Architecture for Real-Time Embedded Systems Classification","J. Kane; R. Hernandez; Q. Yang","Dept. of Electr., Comput., & Biomed. Eng., Univ. of Rhode Island, Kingston, RI, USA","Field-Programmable Custom Computing Machines (FCCM), 2015 IEEE 23rd Annual International Symposium on","","2015","","","244","251","A great architectural challenge facing many of today's embedded systems is in combining physical sensory inputs with often power constrained computational elements to timely and accurately achieve an understanding of the current operating environment. Classification processing is one manner in which some designs accomplish this task. Support Vector Machines (SVMs) encompass one field of classification that has proven to yield high accuracy and has recently seen increased widespread use, however, the required computational intensity places a challenge on computer architects to design a hardware structure capable of performing real-time classifications while maintaining low power consumption. This paper proposes the first ever fully pipelined, floating point based, multi-use reconfigurable hardware architecture designed to act in conjunction with embedded processing as an accelerator for multiclass SVM classification. Several tasks, involving an extensive sample set of over 100,000 classifications, are evaluated for speed and accuracy against the same suite running on both an Intel Core i7-2600 system with lib SVM and an Nvidia GT 750M graphics card GPU. Our promising results show that our architecture is able to achieve a measure able speed increase in performance of up to 53x while matching 99.95% of all lib SVM predictions.","","","10.1109/FCCM.2015.24","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7160083","embedded design;field prgrammable gate arrays;parallel architectures;support vector machines","Accuracy;Computer architecture;Hardware;Kernel;Random access memory;Real-time systems;Support vector machines","embedded systems;graphics processing units;pattern classification;reconfigurable architectures;support vector machines","Intel Core i7-2600 system;Nvidia GT 750M graphics card GPU;classification processing;graphics processing unit;lib SVM predictions;multiclass SVM classification;realtime embedded systems classification;reconfigurable hardware architecture;reconfigurable multiclass support vector machine","","0","","21","","","2-6 May 2015","","IEEE","IEEE Conference Publications"
"Hi-DRA: Intrusion Detection for Internet Security","R. A. Kemmerer; G. Vigna","Reliable Software Group, California Univ., Santa Barbara, CA, USA","Proceedings of the IEEE","","2005","93","10","1848","1857","Intrusion detection systems monitor computer networks looking for evidence of malicious actions. Networks are complex systems, and a comprehensive intrusion detection solution has to be able to manage event streams with different content,speed, level of abstraction, and accessibility. Therefore, it is necessary to distribute intrusion detection sensors across multiple protected networks, manage their configuration as the security posture of the networks changes, and process the results of their analysis so that a high-level picture of the security state of the network can be provided to the administrators. This paper presents Hi-DRA, a network surveillance, analysis, and response system for high-speed WANs. The system provides a framework for the modular development of intrusion detection sensors in heterogeneous, high-speed environments. In addition, the system provides an infrastructure that supports the dynamic configuration of the sensors and the collection and interpretation of their results. The system, as a whole,is able to provide fine-grained monitoring across WANs and, at the same time,is able to correlate the results of the analysis of the different sensors into a high-level expressive description of security violations.","0018-9219;00189219","","10.1109/JPROC.2005.853547","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1512502","Alert correlation;anomaly detection;computer security;intrusion detection;misuse detection;network security;security","Computer network management;Computerized monitoring;Content management;Internet;Intrusion detection;Protection;Security;Sensor phenomena and characterization;Sensor systems;Surveillance","authorisation;telecommunication security;wide area networks","Hi-DRA;Internet security;alert correlation;anomaly detection;computer networks;computer security;heterogeneous/high-speed environments;high-speed wide area networks;intrusion detection;misuse detection;multiple protected networks;network analysis;network response system;network security;network surveillance","","9","3","34","","","Oct. 2005","","IEEE","IEEE Journals & Magazines"
"Challenges affecting a defense-in-depth security architected network by allowing operations of wireless access points (WAPs)","G. Suarez","Raytheon Network Centric Syst., St. Petersburg, FL, USA","Applications and the Internet Workshops, 2003. Proceedings. 2003 Symposium on","","2003","","","363","367","Many corporations and government organizations spend millions of dollars in the protection of their company or organizational data. These protection mechanisms often follow a secured layered approach, called defense in depth (DiD), which allow these organizations to have a more secured network based on security mechanisms at different areas of their network design. Defense in depth is the concept of protecting a computer network with a series of defensive mechanisms such that if one mechanism fails, another will already be in place to thwart an attack. Because there are so many potential attackers with such a wide variety of attack methods available, there is no single method for successfully protecting a computer network. Utilizing the strategy of defense in depth will reduce the risk of having a successful-and likely very costly-attack on a network. In today's environment there is more of a need than ever for increased security in enterprise level networks. Companies are finding themselves with offices around the world and needing a way to provide an affordable high speed secure communications between them as well as provide ways to implement wireless technologies in a secured environment. This paper describes an example of how this can be done and the special issues and challenges associated with securing these types of networks.","","","10.1109/SAINTW.2003.1210187","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1210187","","Communication system security;Companies;Computer networks;Costs;Data security;Government;Information security;Intellectual property;Protection;Wireless application protocol","Internet;business communication;security of data;telecommunication security;wireless LAN","Internet;computer network security;corporations;defense-in-depth security architected network;enterprise level networks;government organizations;high speed secure communications;organizational data;wireless access points","","0","","15","","","27-31 Jan. 2003","","IEEE","IEEE Conference Publications"
"A secure intrusion detection system for MANETs","R. SakilaAnnarasi; S. Sivanesh","Dept. of Computer Science and Engineering, University College of Engineering (BIT Campus), Tiruchirappalli, India","Advanced Communication Control and Computing Technologies (ICACCCT), 2014 International Conference on","","2014","","","1174","1178","Adhoc networks become more important in many applications for its mobility and scalability property. MANET does not possess any fixed network infrastructure. It possess bidirectional communication link. In adhoc network, nodes that are present in same communication range will communicate directly and those beyond the range communicate through their neighbours. The open medium makes MANET more vulnerable to malicious attackers. Many methods like acknowledgement based systems and monitoring methods are proposed to provide secure MANET. In acknowledgment based system, crytographic techniques are used to provide security against false misbehavior report, limited transmission power and receiver collision problems which creates network and routing overhead and fails to address problems like partial dropping. In my project, acknowledgement based intrusion detection system with trust values are used to address malicious activity in certain cicumstances without affecting network performance avoiding requirementment of predistributed keys and use of digital signatures like other intrusion detection systems which cause more network overhead.","","","10.1109/ICACCCT.2014.7019283","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7019283","Digital Signature;Mobile Adhoc NETwork (MANET);Trust values","Intrusion detection;Knowledge based systems;Mobile ad hoc networks;Mobile computing;Routing;Throughput","cryptography;digital signatures;mobile ad hoc networks;security of data;telecommunication security","MANET;acknowledgment based system;bidirectional communication link;crytographic techniques;digital signatures;false misbehavior report;malicious attackers;mobile adhoc network;mobility property;network overhead;partial dropping;receiver collision problems;routing overhead;scalability property;secure intrusion detection system;security;transmission power","","0","","12","","","8-10 May 2014","","IEEE","IEEE Conference Publications"
"A fault tolerance mechanism for network intrusion detection system based on intelligent agents (NIDIA)","L. Siqueira; Z. Abdelouahab","Univ. Fed. do Maranhao, Sao Luis, Brazil","The Fourth IEEE Workshop on Software Technologies for Future Embedded and Ubiquitous Systems, and the Second International Workshop on Collaborative Computing, Integration, and Assurance (SEUS-WCCIA'06)","","2006","","","6 pp.","","The intrusion detection system (IDS) has as objective to identify individuals that try to use a system in way not authorized or those that have authorization to use but they abuse of their privileges. The IDS to accomplish its function must, in some way, to guarantee reliability and availability to its own application, so that it gets to give continuity to the services even in case of faults, mainly faults caused by malicious agents. This paper proposes an adaptive fault tolerance mechanism for network intrusion detection system based on intelligent agents. We propose the creation of a society of agents that monitors a system to collect information related to agents and hosts. Using the information which is collected, it is possible: to detect which agents are still active; which agents should be replicated and which strategy should be used. The process of replication depends on each type of agent, and its importance to the system at different moments of processing. We use some agents as sentinels for monitoring and thus allowing us to accomplish some important tasks such load balancing, migration, and detection of malicious agents, to guarantee the security of the proper IDS","","","10.1109/SEUS-WCCIA.2006.4","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1611713","","Availability;Face detection;Fault tolerance;Fault tolerant systems;Information security;Intelligent agent;Intrusion detection;Load management;Monitoring;Protection","computer networks;fault tolerant computing;information retrieval;multi-agent systems;security of data","authorization;fault tolerance;information retrieval;intelligent agents;network intrusion detection system;security","","3","","16","","","27-28 April 2006","","IEEE","IEEE Conference Publications"
"Adaptive Energy aware reputation based leader election for IDS in MANET","S. Sabat; S. Kadam","Engineering in Electronics and Telecommunication, In the Ramrao Adik Institute of Technology, Navi Mumbai, Thane, Maharashtra, India","Communications and Signal Processing (ICCSP), 2014 International Conference on","","2014","","","891","894","we have proposed an Energy efficient leader election in MANET for Intrusion detection service (IDS). As MANET don't have any centralized controller, the leader election in each cluster becomes very important. The purpose of the elected leader is to serve the IDS for the entire cluster. Our leader election is based on Reputation value and energy level of each node. We have simulated in NS2 environment and shown the comparison of energy consumption or Residual energy of nodes having fixed transmission range with the proposed adaptive energy scheme. Adaptive energy scheme adjusts the range of transmission of each node based on the maximum distance between nodes in each cluster. Energy of each node is conserved as compared to node having fixed transmission range. Thus the leader can serve the cluster for longer duration of life, increasing the percentage of alive nodes, conserving energy of node.","","","10.1109/ICCSP.2014.6949972","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6949972","Cluster head;Intrusion detection System;Leader election;Mobile Ad-Hoc Network","Adaptation models;Lead;Mobile ad hoc networks;Monitoring;Nominations and elections","energy consumption;mobile ad hoc networks;security of data;telecommunication power management;telecommunication security","IDS;MANET;NS2 environment;adaptive energy aware reputation based leader election;adaptive energy scheme;energy consumption;energy efficient leader election;fixed transmission range;intrusion detection service;residual energy","","1","","12","","","3-5 April 2014","","IEEE","IEEE Conference Publications"
"Agent based intrusion detection for wireless local area network","Hong-Yu Yang; Li-Xia Xie","Software Base, Civil Aviation Univ. of China, Tianjin, China","Machine Learning and Cybernetics, 2004. Proceedings of 2004 International Conference on","","2004","4","","2640","2643 vol.4","Present attack problem to wireless local area network. Propose IDS model architecture with agents to monitor attack-related activity within a wireless local area network. And introduce the role of components in the model. Each agent operates cooperatively yet independently of the others, providing for efficiency, real-time response and distribution of resources. This architecture provides significant advantages in scalability, flexibility, extensibility, fault tolerance, and resistance to compromise.","","","10.1109/ICMLC.2004.1382250","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1382250","","Computer crime;Computer science;Context;Data security;Intrusion detection;Local area networks;Monitoring;Software agents;Wireless LAN;Wireless networks","security of data;software agents;wireless LAN","IDS model architecture;agent;attack-related activity monitoring;intrusion detection;wireless local area network","","1","","13","","","26-29 Aug. 2004","","IEEE","IEEE Conference Publications"
"Anomaly detection and privacy preservation in cloud-centric Internet of Things","I. Butun; B. Kantarci; M. Erol-Kantarci","Dept. of Mechatron. Eng., Bursa Tech. Univ., Bursa, Turkey","2015 IEEE International Conference on Communication Workshop (ICCW)","","2015","","","2610","2615","Internet of Things (IoT) concept provides a number of opportunities to improve our daily lives while also creating a potential risk of increasing the vulnerability of personal information to security and privacy breaches. Data collected from IoT is usually offloaded to the Cloud which may further leave data prone to a variety of attacks if security and privacy issues are not handled properly. Anomaly detection has been one of the widely adopted security measures in wired and wireless networks. However, it is not straight forward to apply most of the anomaly detection techniques to IoT and cloud. One of the main challenges is deriving outlier features from the vast volume of data pumped from IoT to the cloud. Other challenges include the large number of sources generating data, heterogenous connectivity and traffic patterns of IoT devices, cloud services being offered at geographically remote places and causing IoT data to be stored in different countries with different legislations. This paper, for the first time, presents the challenges and opportunities in anomaly detection for IoT and cloud. It first introduces the prominent features and application fields of IoT and Cloud, then discusses security and privacy risks to personal information and finally focuses on solutions from anomaly detection perspective.","2164-7038;21647038","","10.1109/ICCW.2015.7247572","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7247572","","Big data;Cloud computing;Internet of things;Privacy;Security;Sensors;Wireless sensor networks","Internet of Things;Web services;cloud computing;data privacy;security of data","IoT concept;IoT devices;anomaly detection techniques;cloud services;cloud-centric Internet of Things;personal information;privacy breach;privacy preservation;privacy risks;security breach;security risks;wired networks;wireless networks","","1","","33","","","8-12 June 2015","","IEEE","IEEE Conference Publications"
"An Effective Trust Establishment Scheme for Authentication in Mobile Ad Hoc Networks","G. Wang; Q. Wang; J. Cao; M. Guo","Central South University","Computer and Information Technology, 2007. CIT 2007. 7th IEEE International Conference on","","2007","","","749","754","Distributed authentication has the property of high security compared with existing authentication schemes. However, its success ratio for authentication may be not high, especially in large-scale Mobile Ad- Hoc Networks (MANETs). In order to address this issue, we propose a hybrid authentication scheme which integrates the chained authentication with the distributed authentication. When a node can't find enough authentication nodes in its one-hop neighborhood to authenticate itself it requests its neighboring nodes to find a certificate chain to do so through the chained authentication. Hence, our scheme overcomes the drawbacks in terms of success ratio for authentication. Theoretical analysis and simulation studies show that, compared with the chained authentication schemes, our scheme is more scalable and it can increase the success ratio for authentication, without sacrificing the security requirement.","","","10.1109/CIT.2007.55","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4385175","","Ad hoc networks;Authentication;Computer networks;Computer science;Cryptography;Information technology;Mobile ad hoc networks;Network servers;Public key;Scalability","ad hoc networks;message authentication;mobile radio;telecommunication security","chained authentication scheme;distributed authentication scheme;mobile ad-hoc network;trust establishment scheme","","5","","11","","","16-19 Oct. 2007","","IEEE","IEEE Conference Publications"
"Binary-tree-based high speed packet classification system on FPGA","J. Li; Y. Chen; C. Ho; Z. Lu","College of Information Science & Engineering, Northeastern University, Shenyang 110819, China","The International Conference on Information Networking 2013 (ICOIN)","","2013","","","517","522","In the network intrusion detection system (NIDS), there is a limitation on the speed of software-based packet classification because of the processor performance, the serial program execution and so on. It has become a great challenge to develop scalable solutions for next-generation packet classification that support higher throughput, larger rule sets and more packet header fields. For low-cost high performance embedded networking applications, the best solution could be doing packet classification by special designed hardware, which can effectively release the burden of system CPU. In order to improve the speed of packet classification, exhibit good memory performance and support quick rule update, a high-speed packet classification system based on FPGA is proposed in this paper. Taking advantage of parallel processing, pipeline and hardware circuit, the throughput has been improved greatly; defining the size of the tree nodes to be binary tree, the memory usage can be more efficient. The binary tree structure is generated through pre-processing on computer, which does not influence the searching speed of FPGA. During the packet header division, the division field is dynamic and selected according to the rules. The experimental results show that the pre-processing time for 50000 rules is shorter than 0.051s, the average speed of rule-header classification for Snort IDS is higher than 10 Gbps.","1550-445X;1550445X","","10.1109/ICOIN.2013.6496433","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6496433","Binary tree;FPGA;NIDS;Packet classification","Binary trees;Clocks;Decision trees;Field programmable gate arrays;Hardware;IP networks","IP networks;computer network security;parallel processing;pattern classification;pipeline processing;telecommunication network routing;tree data structures","CPU;FPGA;IP packet;NIDS;Snort IDS;binary tree structure;binary-tree-based high speed packet classification system;hardware circuit;high performance embedded networking application;network intrusion detection system;next-generation packet classification;packet header division;parallel processing;pipeline processing;processor performance;router;rule-header classification;serial program execution;software-based packet classification;tree node","","2","","10","","","28-30 Jan. 2013","","IEEE","IEEE Conference Publications"
"ARTIFICIAL INTELLIGENCE APPROACHES FOR INTRUSION DETECTION","D. Novikov; R. V. Yampolskiy; L. Reznik","Rochester Institute of Technology, Rochester, NY, dima.novikov@gmail.com","Systems, Applications and Technology Conference, 2006. LISAT 2006. IEEE Long Island","","2006","","","1","8","Recent research indicates a lot of attempts to create an intrusion detection system that is capable of learning and recognizing attacks it faces for the first time. Benchmark datasets were created by the MIT Lincoln Lab and by the International Knowledge Discovery and Data Mining group (KDD). A number of competitions were held and many systems developed as a result. The overall preference was given to expert systems that were based on decision making tree algorithms. This paper explores neural networks as means of intrusion detection. After multiple techniques and methodologies are investigated, we show that properly trained neural networks are capable of fast recognition and classification of different attacks at the level superior to previous approaches.","","","10.1109/LISAT.2006.4302651","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4302651","","Artificial intelligence;Artificial neural networks;Data mining;Intrusion detection;Laboratories;Neural networks;Neurons;Telecommunication traffic;Testing;Traffic control","decision trees;expert systems;neural nets;security of data","artificial intelligence;attack classification;attack recognition;decision making tree algorithm;expert system;intrusion detection;neural network","","2","","30","","","5-5 May 2006","","IEEE","IEEE Conference Publications"
"Applying KSE-test and K-means clustering towards scalable unsupervised intrusion detection","T. Jirachan; K. Piromsopa","Dept. of Comput. Eng., Chulalongkorn Univ., Bangkok, Thailand","Computer Science and Software Engineering (JCSSE), 2015 12th International Joint Conference on","","2015","","","82","87","We proposed a scalable outlier detection method to identify outliers in large datasets with a goal to create unsupervised intrusion detection. In our work, the strength of Kolmogorov-Smirnov test and K-means clustering algorithm, both with linear time complexity, are combined to create fast outlier detection. While still maintaining high detection rate and low false alarm rate, our method can easily be paralleled for processing a large data set. The result is then applied with a predefined threshold in order to create efficient intrusion detection. We validated our method against the KDD'99 dataset. With appropriate value of threshold and value of K in KSE test, the results showed the detection rate up to 80% with false alarms less than 10%. While scaling linearly, the accuracy of our method is also improved from those of pure KSE-test-based methods.","","","10.1109/JCSSE.2015.7219775","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7219775","Anomaly detection;Clustering;Intrusion detection;Log analysis;Outlier Detection","Accuracy;Algorithm design and analysis;Clustering algorithms;Computers;Intrusion detection;Time complexity","computational complexity;pattern clustering;security of data;unsupervised learning","K-means clustering algorithm;KSE-test algorithm;Kolmogorov-Smirnov test algorithm;linear time complexity;predefined threshold;scalable outlier detection method;scalable unsupervised intrusion detection method","","0","","20","","","22-24 July 2015","","IEEE","IEEE Conference Publications"
"Multi-k-Resilience in Distributed Adaptive Cyber-Physical Systems","H. Heck; C. Gruhl; S. Rudolph; A. Wacker; B. Sick; J. Haehner","","ARCS 2016; 29th International Conference on Architecture of Computing Systems","","2016","","","1","8","Resilient communication and knowledge exchange is a fundamental requirement for self-adapting cyber-physical Systems in security critical environments. In reality however, this is not always realized and often the systems are prone to security threats. This paper outlines requirements for increasing robustness with resilient knowledge exchange in distributed cyber-physical systems, and proposes multi-k-resilience, a novel approach to handle the trade-off of security vs. speed in propagating information about processes observed in the physical environment.","","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7499241","","","","","","","","","","","4-7 April 2016","","VDE","VDE Conference Publications"
"Computational intelligence based optimization in wireless sensor network","R. Iram; M. I. Sheikh; S. Jabbar; A. A. Minhas","Department of Computer Science & Engineering, Bahria University, Islamabad, Pakistan","Information and Communication Technologies (ICICT), 2011 International Conference on","","2011","","","1","6","There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle and so the technology advancement which proved to be a miracle of the miracles. Wireless Sensor Network (WSN) is one such miracle of the wireless technology which opens up the new dimensions for the researchers to write the technology of the future i.e. ubiquitous computing and intelligence. Nevertheless nature has played its ultimate role as well to give an idea of perfection in optimizing the teething issues in any field and so in WSN. Design and deployment, localization, routing and clustering, QoS management, security etc are few scenarios in WSN. The computational intelligence paradigm (CI) inspired by nature, comprising artificial neural network (ANN), artificial immune system (AIS), evolutionary algorithm (EA), swarm intelligence (SI) and fuzzy logic (FL). These are different flavors for increasing efficiency in terms of memory and computational power which alternatively affects other issues towards perfection i.e. convenience and intelligence. Hybrid and non hybrid algorithms optimizes the issues through CI paradigms, which are presented in this research article relevant to Wireless Sensor Network. Our findings strongly recommend development of hybrid CI based algorithms to address combinatorial optimizing issues in WSN.","","","10.1109/ICICT.2011.5983561","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5983561","Computational intelligence (CI);Wireless Sensor Network (WSN) and hybrid computational intelligence","Algorithm design and analysis;Computational intelligence;Fuzzy logic;Optimization;Routing;Wireless communication;Wireless sensor networks","artificial intelligence;optimisation;telecommunication computing;wireless sensor networks","AIS;ANN;FL;QoS management;SI;artificial immune system;artificial neural network;computational intelligence based optimization;fuzzy logic;swarm intelligence;ubiquitous computing;wireless sensor network","","2","","35","","","23-24 July 2011","","IEEE","IEEE Conference Publications"
"An ID-based user authentication scheme for Wireless Sensor Networks using ECC","A. Mnif; O. Cheikhrouhou; M. Ben Jemaa","ReDCAD research unit, Department of Computer Science and Applied Mathematics National school of Engineers of Sfax - Tunisia University of Sfax","ICM 2011 Proceeding","","2011","","","1","9","The explosive growth in the use of mobile and wireless devices demands a new generation of remote user authentication schemes that has to accommodate limitations on power and bandwidth, at the same time, to provide an adequate level of security for transferred data in wireless networks. In this paper, we present a new method of access control adapted to constrained Wireless Sensor Networks (WSNs), that's provide access to legitimate users and deny access to illegitimate ones. Our scheme is based on the ID-based techniques and the Elliptic Curve Cryptography (ECC). The proposed protocol provides mutual authentication and key establishment between the user and a gateway node in the WSN.","2159-1660;21591660","","10.1109/ICM.2011.6177359","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6177359","ECC;Identity-based;Public Key Cryptography (PKC);Two Tiered Architecture;User authentication;WSN","Authentication;Computer architecture;Elliptic curves;Logic gates;Protocols;Wireless sensor networks","cryptographic protocols;public key cryptography;telecommunication security;wireless sensor networks","ECC;ID-based user authentication scheme;WSN;access control;elliptic curve cryptography;gateway node;key establishment;mobile devices;remote user authentication scheme;wireless devices;wireless sensor networks","","0","","18","","","19-22 Dec. 2011","","IEEE","IEEE Conference Publications"
"Intrusion detection system for grid computing using SNORT","M. Kumar; M. Hanumanthappa; T. V. S. Kumar","Dept. of Master of Computer Applications, M. S. Ramaiah Institute of Technology, Bangalore-560 054, India","2012 International Conference on Computing, Communication and Applications","","2012","","","1","6","Because of distributed nature, grid computing environments are easy targets for intruders looking for possible vulnerabilities to exploit [1]. By impersonating legitimate users, the intruders can use a service's abundant resources maliciously. To combat attackers, intrusion-detection systems (IDSs) can offer additional security measures for these environments by investigating configurations, logs, network traffic, and user actions to identify typical attack behavior. However, IDS must be distributed to work in a grid computing environment. It must monitor each node and, when an attack occurs, alert other nodes in the environment. This kind of communication requires compatibility between heterogeneous hosts, various communication mechanisms, and permission control over system maintenance and updates. We present the problem of grid intrusion; analyze the requirements of a system to detect them. In this paper we are discussing how IDS can be implemented for grid computing environment.","2325-6001;23256001","","10.1109/ICCCA.2012.6179141","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6179141","Grid Computing;IDS;Snort","Computers;IP networks;Intrusion detection;Operating systems;Prototypes","grid computing;public domain software;security of data;system monitoring","IDS;SNORT;attack behavior identification;communication mechanism requirement;configuration investigation;grid computing environment;grid intrusion problem;heterogeneous hosts compatibility requirement;logs investigation;network traffic investigation;open source network-based intrusion detection system;permission control;system maintenance;system updates;user actions investigation","","2","","18","","","22-24 Feb. 2012","","IEEE","IEEE Conference Publications"
"Cloud Security with Virtualized Defense and Reputation-Based Trust Mangement","K. Hwang; S. Kulkareni; Y. Hu","Univ. of Southern California, Los Angeles, CA, USA","Dependable, Autonomic and Secure Computing, 2009. DASC '09. Eighth IEEE International Conference on","","2009","","","717","722","Internet clouds work as service factories built around Web-scale data centers. The elastic cloud resources and huge datasets processed are subject to security breaches, privacy abuses, and copyright violations. Provisioned cloud resources on-demand are especially vulnerable to cyber attacks. The cloud platforms built by Google, IBM, and Amazon all reveal this weaknesses. We propose a new approach to integrating virtual clusters, security-reinforced data centers, and trusted data accesses guided by reputation systems. A hierarchy of P2P reputation systems is suggested to protect clouds and data centers at the site level and to safeguard the data objects at the file-access level. Different security countermeasures are suggested to protect cloud service models: IaaS, PaaS, and SaaS, currently implemented by Amazon, IBM, and Google, respectively.","","","10.1109/DASC.2009.149","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5380613","Internet clouds;and cloud computing services;data centers;network security;reputation system;virtualization","Application software;Cloud computing;Conference management;Costs;Data privacy;Data security;Production facilities;Protection;USA Councils;Web and internet services","Internet;computer centres;data privacy;information retrieval;peer-to-peer computing;search engines;virtual reality","Internet clouds;P2P reputation systems;Web-scale data centers;cloud security;cloud service model protection;copyright;cyber attacks;data object level;elastic cloud resources;file access level;reputation-based trust management;security-reinforced data centers;virtual clusters","","16","7","25","","","12-14 Dec. 2009","","IEEE","IEEE Conference Publications"
